ticker,company,country,industry
365,Social Chain AG /The,Germany,MediaEntertainment
366,Tarkett SADIR,France,CapitalGoods
367,Grafton Group PLC,UK,CapitalGoods
368,Implanet SA,France,HealthCareEquipmentServices
369,Benchmark Holdings Plc,UK,FoodBeverageTobacco
370,Carbios SACA,France,Materials
371,Innovatec SpA,Italy,CapitalGoods
372,Expert.ai SpA,Italy,SoftwareServices
373,Applus Services SA,Spain,CommercialProfessionalServices
374,FinecoBank Banca Fineco SpA,Italy,Banks
375,Stabilus SE,Germany,CapitalGoods
376,Fincantieri SpA,Italy,CapitalGoods
377,Facephi Biometria SA,Spain,SoftwareServices
378,Serge Ferrari SAS,France,Materials
379,Tinexta Spa,Italy,CommercialProfessionalServices
380,Lucibel SA,France,CapitalGoods
381,Zalando SE,Germany,HotelsRestaurantsConsumerServices
382,Uniper SE,Germany,Utilities
383,Pullup Entertainment,France,MediaEntertainment
384,DFS Furniture PLC,UK,HotelsRestaurantsConsumerServices
385,Auto Trader Group PLC,UK,MediaEntertainment
386,NHOA,France,CapitalGoods
387,You have found the false company. Remove me!,Italy,???
388,Cover 50 SpA,Italy,HotelsRestaurantsConsumerServices
389,Biocorp,France,HealthCareEquipmentServices
390,Grenergy Renovables SA,Spain,Utilities
391,Avio SpA,Italy,CapitalGoods
392,Giglio Group SpA,Italy,CapitalGoods
393,Openjobmetis Spa agenzia per il lavoro,Italy,CommercialProfessionalServices
394,BRAIN Biotech AG,Germany,Materials
395,Flutter Entertainment PLC,UK,HotelsRestaurantsConsumerServices
396,Senvion SA,Germany,CapitalGoods
397,METRO AG,Germany,HotelsRestaurantsConsumerServices
398,Joules Group PLC,UK,HotelsRestaurantsConsumerServices
399,Kerlink SACA,France,TechnologyHardwareEquipment
400,Motorpoint group PLC,UK,HotelsRestaurantsConsumerServices
401,Coca-Cola Europacific Partners PLC,UK,FoodBeverageTobacco
402,Midwich Group PLC,UK,TechnologyHardwareEquipment
403,Cerinnov Group SA,France,CapitalGoods
404,Abeo SA,France,HotelsRestaurantsConsumerServices
405,Italgas SpA,Italy,Utilities
406,Atrys Health SA,Spain,HealthCareEquipmentServices
407,Finchain Capital Partners AG,Germany,HotelsRestaurantsConsumerServices
408,Groupe Parot SACA,France,HotelsRestaurantsConsumerServices
409,ConvaTec Group PLC,UK,HealthCareEquipmentServices
410,Luceco PLC,UK,CapitalGoods
411,ProCredit Holding AG,Germany,Banks
412,Banco BPM SpA,Italy,Banks
413,GPI SpA,Italy,HealthCareEquipmentServices
414,Ultimate Products PLC,UK,HotelsRestaurantsConsumerServices
415,Unieuro SpA,Italy,HotelsRestaurantsConsumerServices
416,Neinor Homes SA,Spain,HotelsRestaurantsConsumerServices
417,Prodways Group SA,France,CapitalGoods
418,Indel B SpA,Italy,HotelsRestaurantsConsumerServices
419,Medica Group PLC,UK,HealthCareEquipmentServices
420,Aquafil SpA,Italy,HotelsRestaurantsConsumerServices
421,TEN Entertainment Group PLC,UK,HotelsRestaurantsConsumerServices
422,BF SpA,Italy,FoodBeverageTobacco
423,Wiit SpA,Italy,SoftwareServices
424,Finlogic SpA,Italy,CommercialProfessionalServices
425,Asturiana de Laminados SA,Spain,Materials
426,SIT SpA,Italy,TechnologyHardwareEquipment
427,MYNARIC AGNAMENS AKTIEN O N,Germany,CapitalGoods
428,Befesa SA,Spain,CommercialProfessionalServices
429,ContourGlobal PLC,Spain,Utilities
430,Greenalia SA,Spain,Utilities
431,Siemens Healthineers AG,Germany,HealthCareEquipmentServices
432,Vente-Unique.Com SA,France,HotelsRestaurantsConsumerServices
433,STS Group AG,Germany,CapitalGoods
434,Roche Bobois SAS,France,HotelsRestaurantsConsumerServices
435,Knorr-Bremse AG,Germany,CapitalGoods
436,RELX PLC,UK,CommercialProfessionalServices
437,Linde PLC/old,UK,Materials
438,Italian Exhibition Group SpA,Italy,MediaEntertainment
439,Solarpack Corp Tecnologica SA,Spain,Utilities
440,Comer Industries SpA,Italy,CapitalGoods
441,Talea Group SpA,Italy,HotelsRestaurantsConsumerServices
442,Iervolino & Lady Bacardi Entertainment SpA,Italy,MediaEntertainment
443,TeamViewer SE,Germany,SoftwareServices
444,Cyberoo SpA,Italy,SoftwareServices
445,Newlat Food SpA,Italy,FoodBeverageTobacco
446,Matica Fintec SpA,Italy,TechnologyHardwareEquipment
447,La Francaise des Jeux SAEM,France,HotelsRestaurantsConsumerServices
448,NVP Srl,Italy,MediaEntertainment
449,Sanlorenzo SpA/Ameglia,Italy,HotelsRestaurantsConsumerServices
450,Mare Nostrum SAS,France,CommercialProfessionalServices
451,Gismondi 1754 SpA,Italy,HotelsRestaurantsConsumerServices
452,Galliford Try Holdings PLC,UK,CapitalGoods
453,Mediobanca Banca di Credito Finanziario SpA,Italy,Banks
454,Redeia Corp SA,Spain,Utilities
